light_rail,commuter_rail,brt,ferry,bus,express,x,y
0,0,0,0,1,0,-122.307666283999990,47.817404129000067
0,0,0,0,1,0,-122.324880328999940,47.810411873000078
0,0,0,0,1,0,-122.292368830999980,47.809063852000065
0,0,0,0,1,0,-122.322100866999960,47.799489263000055
0,0,0,0,1,0,-122.319398562999990,47.799436070000070
0,0,0,0,1,0,-122.292341434999970,47.799541553000040
0,0,0,0,1,0,-122.324885369999950,47.817593202000069
0,0,0,0,1,0,-122.324964193999960,47.815838922000069
0,0,0,0,1,0,-122.314172651999970,47.822154549000061
0,0,0,0,1,0,-122.319614257999940,47.821172267000065
0,0,0,0,1,0,-122.292444339999970,47.817317619000050
0,0,0,0,1,0,-122.320407156999980,47.815036386000031
0,0,0,0,1,0,-122.324144887999980,47.810407603000044
0,0,0,0,1,0,-122.311119380999970,47.825732989000073
0,0,0,0,1,0,-122.312197816999970,47.821097858000030
0,0,0,0,1,0,-122.297885609999980,47.820963344000063
0,0,0,0,1,0,-122.317539290999950,47.818252592000078
0,0,0,0,1,0,-122.300592531999940,47.817351810000048
0,0,0,0,1,0,-122.297814134999950,47.817323911000074
0,0,0,0,1,0,-122.303180791999980,47.802468076000025
0,0,0,0,1,0,-122.317310181999970,47.821140281000055
0,0,0,0,1,0,-122.319582995999950,47.817577144000040
0,0,0,0,1,0,-122.318178232999970,47.817567991000033
0,0,0,0,1,1,-122.297830994999970,47.816005298000050
0,0,0,0,1,0,-122.303164069999980,47.806471718000068
0,0,0,0,1,0,-122.292339239999990,47.802772573000027
0,0,0,0,1,0,-122.311277040999980,47.799341943000059
0,0,0,0,1,0,-122.303220948999980,47.810124085000041
0,0,0,0,1,0,-122.292336443999940,47.806399086000056
0,0,0,0,1,1,-122.296331296999990,47.815591768000047
0,0,0,0,1,0,-122.308611296999970,47.799310764000040
0,0,0,0,1,1,-122.295060776999950,47.816060938000078
0,0,0,0,1,0,-122.303243174999980,47.813761736000060
0,0,0,0,1,0,-122.303155516999990,47.799203852000062
0,0,0,0,1,0,-122.292443926999970,47.823495242000035
0,0,0,0,1,0,-122.292444819999960,47.822701839000047
0,0,0,0,1,0,-122.325005305999980,47.821244430000036
0,0,0,0,1,0,-122.308610720999980,47.817436615000076
0,0,0,0,1,0,-122.307255369999950,47.799284078000028
0,0,0,0,1,0,-122.322101109999950,47.795829688000026
0,0,0,0,1,0,-122.292323769999940,47.804502621000040
0,0,0,0,1,0,-122.324106660999970,47.821249869000042
0,0,0,0,1,0,-122.315048587999970,47.821111407000046
0,0,0,0,1,0,-122.311012547999950,47.821079484000052
0,0,0,0,1,0,-122.292386599999990,47.818371428000034
0,0,0,0,1,0,-122.321360281999940,47.813971379000066
0,0,0,0,1,0,-122.326723543999950,47.806822090000026
0,0,0,0,1,0,-122.292436493999960,47.820917580000071